audio,Noakhali_text,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/1 - Rezwan-ul-alam 2011659042_segment_0.wav,অন মাছ আর সবজি দি ভাত খাইতে খরচ হয়,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/1 - Rezwan-ul-alam 2011659042_segment_1.wav,"হয়তাল্লিশ টিয়া, দুইহাজার বিশ সালে মোরগ দি ভাত খাইতে খরচ হইত ত্রিশ টিয়া",,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/1 - Rezwan-ul-alam 2011659042_segment_2.wav,"অন মাোরগ দি ভাত খাইতে খরচ হয় পঞ্ছাশ টিয়া, দুইহাজার বিশ সালে গরু মাংস",,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/1 - Rezwan-ul-alam 2011659042_segment_3.wav,"খরচ হইত পয়ত্রিশ তুন চল্লিশ টিয়া, অন গরুর মাংস",,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/1 - Rezwan-ul-alam 2011659042_segment_4.wav,"দি ভাত খাইতে খরচ হয় ষাইট তুন সত্তর টিয়া, দুইহাজার বিশ সালে হুদা ভাত ডাইল",,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/1 - Rezwan-ul-alam 2011659042_segment_5.wav,"সবজি দি খাইতে খরচ হইত ১৫ তুন ২০ টিয়া, অন ভাত ডাইল খাইতে খরচ হয় ২০ তুন ২৫ টিয়া",,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/1 - Rezwan-ul-alam 2011659042_segment_6.wav,"বেক কিছুর দাম বাইরলেও আংগো হাত খরচ বৃদ্ধি হায় ন, আগে উগগা টীউশনি",,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/1 - Rezwan-ul-alam 2011659042_segment_7.wav,"টিউশন করি মাস শেষ করি হালান যাইত, ইয়ানে অন দুগা টিউশন করন লাগে, আগে ত্রিশ ",,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/1 - Rezwan-ul-alam 2011659042_segment_8.wav,"হয়তাাল্লিশ দি খানা খান যাইত, ইয়ানে হন পঞ্ছাশ তুন ষাইট টিয়া দি খান লাগে",,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/1 - Rezwan-ul-alam 2011659042_segment_9.wav,আমরা ক্যানটিনে গ্যাস বিল কারেন্ট বিল টেবিল চেয়ার আর হ্লেট হলের হক্ষ তুন দি থাই,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/1 - Rezwan-ul-alam 2011659042_segment_10.wav,ইগিন ক্যানটিনের মাল পরিবেশনের লাই নিয়মিত কাজ করি যাওন লাগে।,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/1 - Rezwan-ul-alam 2011659042_segment_11.wav,যেতারা ফ্রি খাওয়ার বা বাকি টিয়া দেন না হেতাগো বিরুদ্ধে আমরা ব্যাবস্থা লইয়ের।,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_0.wav,"তিন ভাইবোনের ভিতরে বেকের ছোট হেতে, জন্ম চট্ট",,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_1.wav,"চট্টগ্রামে, বাবার চাকরির লাই ছোটবেলায় থাইকসে বগুড়াতে, বগুড়ার পাবলিক স্কুল এন্ড",,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_2.wav,"কলেজ তুন এসএসসি, আর ঢাকার রাজউক উত্তরা মডেল কলেজ তুন এইচেসসি পাস করেন",,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_3.wav,এমআইটির তুন কাইক্কোবাদ এসএসসি ও এইচএসসি গোল্ডেন এ প্লাস,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_4.wav,"হায়, হরে ঢুকে ব্রাক বিশ্যবিদ্যালয়, ছোড বেলায় ডাক্তারি হইরতে ছাইছিলো কিন্তু বড়",,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_5.wav,হই স্বপ্ন পালটি গেসে। আন্তর্জাতিক জার্নালে ছগা ফ্রকাশিত হইসে হেতার।,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_6.wav,দুইহাজার বিশ সালে আই ঠিক কইরছে উচ্চশিক্ষার লাই দেশের বাইরে যাইব ঢাকার,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_7.wav,হুরান ঐতিহ্যবাই ভবন গুন নতুন ভাবে ব্যাবহারের ফ্রক্রিয়া লই গবেষণা কইরব গবেষণা,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_8.wav,একদমে ঢাকা শহরের ইতি ও নেতিব্যাক বিষয় গুলি তুলি ধইরব,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_9.wav,বাপ মা দুইজনই কলেজ শিক্ষক হেতাগো মুখ উজ্জল কইরত যায় সন্তান নাফিস উল হক সিফাত,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_10.wav,হুদা বাপ মা নন বাংলাদেশ তুন ফ্রত্যেক বছর এগগা বা দুগা এমআইটিত হড়ার সুযোগ,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_11.wav,হায় তবে এইবার আই একমাত্র সুযোগ আই সুযোগ ইয়ান হাইসি আর এটাতে,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_12.wav,অবাক হইসি আর আনন্দ তো আছেই। হেতার বাপ নাসির উদ্দিন মতলব,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_13.wav,র‍য় মনেন্নেসা মহিলা কলেজে আর মা কামরুন নাহার হাজিগঞ্জ মডেল কলেজে,,,,,,
/content/drive/MyDrive/Noakhali_Voice_Dataset/2 - Rezwan-ul-alam 2011659042_segment_14.wav,শিক্ষকতা করে দুই ভাইবোনের ভিত্তে হেতে বেকের ছোট বড় বোন নোয়াখালি বি,,,,,,
