Noakhali_text,Formal_text
আরে এক গেলাস হানি দে,আমাকে এক গ্লাস পানি দাও
এক্কানা গরি ভালোবাসা দিত ন পাইত্তো লাইগগোদে না,আমাকে একটুও কি ভালোবাসতে পার না?
আরে দুগা হাকি দেএ না,আমাকে দুইটা পাখি দেও না
আরে বাইচত্তি দিলি না তুই ও বাঁইচতি পারবি না,আমাকে বাঁচতে দিলা না তুই ও বাঁচতে পারবি না
আরে শরম দিয়েন্না,আমাকে লজ্জা দিবেন না
আংগো আইজগা রাইনচে গরুর গোস্ত দি বিরিয়ানি চাইলের ভাত,আমাদের আজকে রানছে গরুর গোস্ত দিয়ে বিরিয়ানি চালের ভাত
আঙ্গো এলাকায় বিয়া কইরবেন,আমাদের এলাকায় বিয়ে করবেন
আর বাড়ি কি সট্টগ্রামত?,আমাদের বাড়ি কি চট্টগ্রাম?
আত্তুন লাগে ঈদের নামাজ হরিও হালায়,আমাদের সাথে ঈদের নামাজ পড়ে ফেলো
ভাইয়া আর অংকগান এককানা সলব গরি দিবি?,আমার অংকটা একটু সলব করে দিবি?
আমার অফিসের টাইম হইয়া গেল,আমার অফিসের সময় হয়ে গেল
আরতুন তুয়ার নাট্যমি এগিন ফুয়াদ ন লার,আমার কাছে তোমার এই নাটক ভালো লাগছে না
আর কাগু একজন টিচার,আমার চাচা একজন টিচার
আমার পিচ্চি খালাতো বইন অন্তু,আমার ছোট খালাতো বোন অন্তু
আর জিনিসগান পছন্দ অয়ই,আমার জিনিসটা পছ্ন্দ হয়েছে
আর তো উন্নিশে উন্নিশে লাগের,আমার বমি বমি লাগছে
আর বাসাত এক্কানা সম্যাসা অইল,আমার বাসাই একটু সমস্যা হয়েছিল
আর বাসাত মেমান আইচ্ছিল,আমার বাসাতে মেহমান আসছিল
আত্তে গম ন লার,আমার ভালো লাগছে না
আত্তুন লাগে যেন হাঁসটা বাইজ্জে,আমার মনে হয় পাঁচটা বাজে
আর শার্ট ইবে তোয়াই ন পাইয়র তো,আমার শার্টটা খুঁজে পাচ্ছি না
আর লয় ন মাইত্তো চাই এক্কানা,আমার সঙ্গে কথা বলিও না তো
আর সনার বাংলা আই তোরএ ভালাবাসি,আমার সোনার বাংলা আমি তোমায় ভালোবাসি
আর ত হালিয়ে হাজ আছে,আমারতো কালকে কাজ আছে
আই অনেকক ভালা গাআন গাই,আমি অনেক ভালো গান গাই
আই আন্নের লগেদি আছি,আমি আপনার সাথে আছি
মুই কথা কই মোর ভাষায়,আমি আমার ভাষায় কথা বলি
আই এক্কানা এক্কানা বুজির,আমি একটু একটু বুঝি
আই এডেত্তুন আরো দুরে যাইয়ুম,আমি এখান থেকে আরো দূরে যাবো
আই ইয়ানও আইছি অনেক দিন অইছে,আমি এখানে এসেছি অনেক দিন হয়েছে
আই এতকিছু নবুঝি,আমি এত কিছু বুঝিনা
আই হাজ টাজ সারি তুর লগে দেহা গরতাইম আইসসুম,আমি কাজ সেরে তোর সাথে দেখা করতে আসব
আই কামটি পারতাম ন,আমি কাজটি পারবো না
আইতো বেশি ভাল না,আমি তো বেশি ভাল নাই
আই তোয়ার বাড়িত যাইয়ুম,আমি তোমাদের বাড়ি যাবো
আই নানু বারি যামু,আমি নানি বাড়ি যাবো
"আই নোয়াখাইল্লা, ইয়ারলাই আই গর্বিত","আমি নোয়াখাইল্লা, এর জন্য আমি গর্বিত"
