Noakhali_text,Formal_text
অন মাছ আর সবজি দি ভাত খাইতে খরচ হয়,এখন মাছ আর সবজি দিয়ে ভাত খেতে খরচ হয়
"হয়তাল্লিশ টিয়া, দুইহাজার বিশ সালে মোরগ দি ভাত খাইতে খরচ হইত ত্রিশ টিয়া","পয়তাল্লিশ টাকা, দুইহাজার বিশ সালে মোরগ দিয়ে ভাত খেতে খরচ হত ত্রিশ টাকা"
"অন মাোরগ দি ভাত খাইতে খরচ হয় পঞ্ছাশ টিয়া,","এখন মাোরগ দিয়ে ভাত খেতে খরচ হয় পঞ্ছাশ টাকা, "
"দুইহাজার বিশ সালে গরু মাংস খরচ হইত পয়ত্রিশ তুন চল্লিশ টিয়া,","দুইহাজার বিশ সালে গরু মাংস খরচ হত পয়ত্রিশ থেকে চল্লিশ টাকা,"
"অন গরুর মাংস দি ভাত খাইতে খরচ হয় ষাইট তুন সত্তর টিয়া,","এখন গরুর মাংস দিয়ে ভাত খেতে খরচ হয় ষাট থেকে সত্তর টাকা,"
"দুইহাজার বিশ সালে হুদা ভাত ডাইল সবজি দি খাইতে খরচ হইত পনেরো তুন বিশ টিয়া,",দুইহাজার বিশ সালে শুধু ভাত ডাল সবজি দিয়ে খেতে খরচ হত পনেরো থেকে বিশ টাকা
অন ভাত ডাইল খাইতে খরচ হয় বিশ তুন পচিশ টিয়া,এখন ভাত ডাল খেতে খরচ হয় বিশ থেকে পচিশ টাকা
"বেক কিছুর দাম বাইরলেও আংগো হাত খরচ বৃদ্ধি হায় ন,","সব কিছুর দাম বারলেও আমাদের হাত খরচ বাড়ে নাই,"
আগে উগগা টিউশন করি মাস শেষ করি হালান যাইত,"আগে একটা টিউশন করে মাস শেষ করে পালান যেত,"
"ইয়ানে অন দুগা টিউশন করন লাগে,"," সেইখানে এখন দুিটি টিউশন করা লাগে, "
হয়তাাল্লিশ দি খানা খান যাইত,পয়তাাল্লিশ দিয়ে খাবার খাওয়া যেত
ইয়ানে হন পঞ্ছাশ তুন ষাইট টিয়া দি খান লাগে,সেইখানে এখন পঞ্ছাশ থেকে ষাট টাকা দিয়ে খাওয়া লাগে
আমরা ক্যানটিনে গ্যাস বিল কারেন্ট বিল টেবিল চেয়ার আর হ্লেট হলের হক্ষ তুন দি খাই,আমরা ক্যানটিনে গ্যাস বিল কারেন্ট বিল টেবিল চেয়ার আর প্লেট হলের পক্ষ থেকে দিয়ে খাই
ইগিন ক্যানটিনের মাল পরিবেশনের লাই নিয়মিত কাজ করি যাওন লাগে।,এসব ক্যানটিনের জিনিস পরিবেশনের জন্য নিয়মিত কাজ করে যাওয়া লাগে।
যেতারা ফ্রি খাওয়ার বা বাকি টিয়া দেন না হেতাগো বিরুদ্ধে আমরা ব্যাবস্থা লইয়ের।,যারা ফ্রি খাওয়ার বা বাকি টাকা দেন না তাদের বিরুদ্ধে আমরা ব্যাবস্থা নিচ্ছি।
তিন ভাইবোনের ভিতরে বেকের ছোট হেতে,তিন ভাইবোনের ভিতরে সবার ছোট সে
"চট্টগ্রামে, বাবার চাকরির লাই ছোটবেলায় থাইকসে বগুড়াতে,","চট্টগ্রামে, বাবার চাকরির জন্য ছোটবেলায় থেকেছে বগুড়াতে, "
"বগুড়ার পাবলিক স্কুল এন্ড কলেজ তুন এসএসসি,","বগুড়ার পাবলিক স্কুল এন্ড কলেজ থেকে এসএসসি,"
আর ঢাকার রাজউক উত্তরা মডেল কলেজ তুন এইচেসসি পাস করেন,আর ঢাকার রাজউক উত্তরা মডেল কলেজ ঠেকে এইচেসসি পাস করেন
এমআইটির তুন কাইক্কোবাদ এসএসসি ও এইচএসসি গোল্ডেন এ প্লাস,এমআইটির থেকে কাইক্কোবাদ এসএসসি ও এইচএসসি গোল্ডেন এ প্লাস
হরে ঢুকে ব্রাক বিশ্যবিদ্যালয়,"পরে ঢুকে ব্রাক বিশ্যবিদ্যালয়, "
ছোড বেলায় ডাক্তারি হইরতে ছাইছিলো কিন্তু বড় হই স্বপ্ন পালটি গেসে।,ছোট বেলায় ডাক্তারি পড়তে ছেয়েছিলো কিন্তু বড় হয়ে স্বপ্ন পালটে গেছে।
আন্তর্জাতিক জার্নালে ছগা ফ্রকাশিত হইসে হেতার।,আন্তর্জাতিক জার্নালে ছয়টা প্রকাশিত হয়েছে তার।
দুইহাজার বিশ সালে আই ঠিক কইরছে উচ্চশিক্ষার লাই দেশের বাইরে যাইব,দুইহাজার বিশ সালে এসে ঠিক করছে উচ্চশিক্ষার জন্য দেশের বাইরে যাবে
হুরান ঐতিহ্যবাই ভবন গুন নতুন ভাবে ব্যাবহারের ফ্রক্রিয়া লই গবেষণা কইরব,পুরাতন ঐতিহ্যবাই ভবন গুলো নতুন ভাবে ব্যাবহারের প্রক্রিয়া নিয়ে গবেষণা করবে
একদমে ঢাকা শহরের ইতি ও নেতিব্যাক বিষয় গুলি তুলি ধইরব,একদমে ঢাকা শহরের ইতি ও নেতিবাচক বিষয় গুলি তুলে ধরবে
বাপ মা দুইজনই কলেজ শিক্ষক হেতাগো মুখ উজ্জল কইরত যায় সন্তান নাফিস উল হক সিফাত,বাবা মা দুইজনই কলেজ শিক্ষক তাদের মুখ উজ্জল করতে চায় সন্তান নাফিস উল হক সিফাত
