Noakhali_text,Formal_text
বড় মাইয়া ভালা ইকগা থ্রিপিসের লাই স্কুলে যায় না,বড় মেয়ে ভালো একটা থ্রিপিসের জন্য স্কুলে যায় না
বরি দিয়ে মাছ ধর,বড়শি দিয়ে মাছ ধর
বাজারত যাই কি কি আনিভি,বাজারে গিয়ে কি কি আনবা
বাজারত যাই কি কি আনিবেন,বাজারে গিয়ে কি কি আনবেন
"বাজারত যা, কিছু বাজারসাজার গরি আই","বাজারে যাও, কিছু বাজার করে নিয়ে আস"
বাইত কিছু কাম আছে,বাড়িতে কিছু কাজ আছে
বাতরুমে হেই কোনসম গরম পানি দিছি,বাথরুমে সেই কোনসময় গরম পানি দিয়েছি
বাবা তোরে রিক্সা চালাইতে লাগাই দিমু,বাবা তোকে রিক্সা চালাতে লাগিয়ে দিবো
বিষয়টা কি বুইজ্জেন্নি ভাইসা?,বিষয়টি কি বুঝছেন ভাই?
ঝড়িতে হত ঘাট হেকে ভরি গেছে,বৃষ্টি তে পথ ঘাটা কাদায় ভরে গেছে
বৃষ্টিতে রাস্তা লোদ হইয়্যা গেছে,বৃষ্টিতে রাস্তা কাদা হয়ে গেছে
বিষুদবার আন্নের বন্ধ থাকবো?,বৃহস্পতিবার আপনার বন্ধ থাকবে?
বেশি কিছু কই আন্নের মুল্যবান সময় নস্ট কইত্তে চাইনা,বেশি কিছু বলে আপনার মুল্যবান সময় নস্ট করতে চাইনা
ভাই আর কিছুখন পড়লি দাঁত ভাংগি ফালামু,ভাই আর কিছুক্ষণ পড়লে দাঁত ভেংগে ফেলবো
বাই বালা আছেন কি?,ভাই কী ভাল আছেন?
ভাই জিনিস ইবের দাম হত?,ভাই জিনিসটার দাম কত?
ভাইসা গুস্সা গরজুইন না,ভাই রাগ করেন না
"ভাইসা, আন্নেগো খবর কিয়া?","ভাই, আপনাদের কি খবর?"
বাবুরে আই কি মানস ননি! আর লগে এইক্কা করো কিল্লাই?,"ভাই, আমি কি মানুষ না! আমার সঙ্গে এমন করেন কেন?"
ভাই অনে কি এ জাগা ইয়েন চিনন না?,"ভাইয়া, আপনি কি এই জায়গাটা চিনেন?"
ভালা চরি অইলি গইরজুম,ভাল চাকরি পেলে করব
ভুতেরা আন্নের ঘাড় মটকাইলে হরে গালি দিয়েন্না,ভুতেরা আপনার ঘাড় মটকালে আমাকে গালি দিয়েন না
ভোডের লাই আইলে আবার,ভোটের জন্য আসলো আবার
বেইন্নার হইখ কিচিমিচি করে,ভোরে পাখি কিচিরমিচি করে
ভের ভের কা গরোর?,মনে মনে কী বলছ?
মনয় ইয়েনত পাইবেন,মনে হয় ওটাতে পাবেন
মনে অয় আমরা আস্তেধীরে আগের মতো অইতে হারুম,মনে হয় আমরা আস্তেধীরে আগের মতো অসতে পারবো
মরিচ বেগ্গুন হানিতে ভিজাই রাখ,মরিচ বেগুন পানিতে ভিজাই রাখ
মাতাত গ্যাস্টিক উডি গ্যাছেনি ক্যান?,মাথায় কেন গ্যাস্টিক উঠে গেছে?
মাই্নষের হোলা ইস্কুলে যায়,মানুষের পোলা স্কুলে যায়
মামু আন্নে কেল আরে চিটাগান আইতে কন,মামা আপনে খালি আমাকে চিটাগাং আসতে বলেন
মামু আন্নে চিন্তা করিয়েন্না,মামা আপনে চিন্তা করেন না
আর্শন বেশি গুঞ্জুইলে ঝড়ি কম ওয়,"মেঘ বেশি ডাকলে,বৃষ্টি কম হয়"
মেডুম আমনে কি জানেন?,ম্যাডাম আপনে কি জানেন?
যদি তোর ডাগ হুনি কুনুগা নঅ আই তবে একলা চল রে,যদি তোর ডাক শুনে কেউ না আসে তবে একলা চল রে
যা যা পছ লই আনিবেন,যা যা পাও নিয়ে আসবা
যা যা পান লই আনিবেন,যা যা পান নিয়ে আসবেন
যাতে কেউ আন্নের জীবনে আসি আন্নেরর হাতখান ধইত্তো হারে,যাতে কেউ আপনার জীবনে এসে আপনার হাতখান ধরতে পারে
হরে,যার ঘরে লালন পালন হয়
ভাও রাগ করেন কিল্লাই?,রাগ করেন কেন ভাই?
রানওয়ে হরিষ্কার করে লই,রানওয়ে পরিষ্কার করে নিই
লাস্তা হানিতে ভরে গেছে,রাস্তা পানিতে ভরে গেছে
লাস্তা সামনের তুন হরেন,রাস্তার সামনে থেকে সরেন
রুইত মাস খর বাইয়ুন দিয়ে পাক কর,রুই মাছ টমেটো দিয়ে পাক কর
লাস্ট হত অইলি পারিবেন?,লাস্ট কত হলে পারবেন?
সল ফইরুথ আছুর দি,লো পুকুরে সাঁতার কাটি
শীতকালে গোসল কইত্তে অন্নের কষ্ট অয়,শীতকালে গোসল করতে আপনার কষ্ট হয়
হুগ্না মরিচ হানি দি ভিজাই রাইখছি,শুকনা মরিচ পানি দিয়ে ভিজিয়ে রেখেছি
শুক্কুরবার অফিস ছুটি থাকবে,শুক্রবার অফিস ছুটি থাকবে
হুরি মাছ দিই ভাত খাইয়ুম,শুটকি মাছ দিয়ে ভাত খাব
শেষ কালে কোয়ালে আত দি বই বই তুই কাঁইদবি,শেষ কালে কপালে হাত দিয়ে বসে বসে তুই কানবি
"শেষমেষ এক্কেন ই চাওয়া তুই ভালা থাক, খুশি থাক","শেষমেষ একটাই চাওয়া তুই ভালো থাক, খুশি থাক"
হাচা কতা কইছেন ভাইসা,সত্যি কথা বলছেন ভাই
হাওদির হুত হাওদি কাল বেড়াতে আইবো নি,সমন্ধির ছেলে কাল বেড়াতে আসবে
সময় হাইলে আঙ্গ বাইততন বেড়াই যাইয়,সময় হলে আমাদের বাড়িতে বেড়াতে যাইয়েন
খালি লগে ব্যাগ আছে দেই আন্নেগরে ডাকি,সাথে ব্যাগ আছে বলে আপনাদেরকে ডাকি
হেতে আরে হোন কইর্ছিলো,সে আমাকে ফোন করেছিল
হেতি আরে থুই ঘরে তালা মারি আর হুর বাড়িত গেছেগা,সে আর তুমি মিলে ঘরে তালা মেরে হুর বাড়িতে গেছে
ইতে এহন কি গরে?,সে এখন কি করে?
ইতে এহন কিছু নগরে,সে এখন কিছু করে না
ইতে এহন জব গরে ঢাকাত,সে এখন ঢাকায় জব করে
ইতে এহন বিএসি গরের,সে এখন বিএসসি করছে
ইতে তো আর ওয়াইরজ্জে,সে তো আমার বন্ধু
হেতে হানিত্তে হড়ি গেছে,সে পানিতে পড়ে গিয়েছে
হেতে বাপের বড় হোলা,সে বাবার বড় ছেলে
হেতে মিছা অতা কয়,সে মিথ্যা কথা বলেছে
"ইস্কুলে গেলি না,হড়ালেয়া করলি না","স্কুলে গেলি না,পড়ালেখা করলি না"
ইস্কুলে যন কেলাস চলে তুই খেলাচের তাস,স্কুলে যখন ক্লাস চলে তুই খেলিস তাস
আচুইক্কা ডাঠা হনে আই হালদি উঠছি,হটাত বজ্রপাতে আমি চমকে উঠলাম
আইটতে আইটতে ঠ্যাং বিষ অই গেছে,হাঁটতে হাঁটতে পা ব্যথা হয়ে গেছে
"হ, বাড়া কিন্তু ১০ টিয়া","হ্যাঁ, ভাড়া কিন্তু ১০ টাকা"
বাইয়ুন তরকারি দিয়া ভাত খামু,বেগুন তরকারি দিয়ে ভাত খাব
এত কম টিয়ায় কি চলে?,এত কম টাকায় কি চলে?
তেতই এর নাম হুনলেই মুখে হানি আসে,তেতুল এর নাম শুনলেই মুখে পানি আসে
মিরকা মাস কার্প জাতীয় মাস,মৃগেল মাছ কার্প জাতীয় মাছ
আল দিয়া মাটি কোপাও,নাঙ্গল দিয়ে মাটি কোপাও
কাজ্জম খাইতে খুব মজা,কালো জাম খেতে খুব মজা
এখন ফানখা অফ কর,এখন ফ্যান অফ কর
ককিয়া দিয়া শরবত কর,পেপে দিয়ে শরবত কর
লইড্ডা ইসা তরকারির স্বাদ বাড়ায়,ছোট চিংড়ি তরকারির স্বাদ বাড়ায়
টিঁয়া-পয়সা সাবধানে রাখ,টাকা-পয়সা সাবধানে রাখো
হইন্নি স্বভাব আর গেল না তুয়ার?,ফকিরনি স্বভাব আর গেল না তুমার?
এক খোরা হানি আন,এক বাটি পানি আন
গাজ্জর গেডি টনটন করছে,জ্বরে ঘাড় টনটন করছে
মাঠে ডিয়া ছোটাছুটি করে,মাঠে বাছুর ছোটাছুটি করে
অনেক দারুয়া দরকার হবে,অনেক লাকড়ি দরকার হবে
নিজের আত দিয়া কাম কর,নিজের হাত দিয়ে কাজ কর
বাইয়ুনগুন খাইতে অনেক হোয়াদ,বেগুনগুলো খেতে অনেক স্বাদ
খর বাইয়ুনগুন খাইতে অনেক হোয়াদ,টমেটোগুলো খেতে অনেক স্বাদ
কাডলগুন খাইতে অনেক হোয়াদ,কাঁঠালগুলো খেতে অনেক স্বাদ
হুরি মাস গুন খাইতে অনেক হোয়াদ,শুটকি মাছ গুলো খেতে অনেক স্বাদ
কোম্বাগুন খাইতে অনেক হোয়াদ,কুমড়াগুলো খেতে অনেক স্বাদ
গোব্বাগুন খাইতে অনেক হোয়াদ,পেয়ারাগুলো খেতে অনেক স্বাদ
আইড্ডা কেলা গুন খাইতে অনেক হোয়াদ,বিচি কলা গুলো খেতে অনেক স্বাদ
মিরকা মাস খাইতে অনেক হোয়াদ,মৃগেল মাছ খেতে অনেক স্বাদ
রুইত মাস খাইতে অনেক হোয়াদ,রুই মাছ গুলো খেতে অনেক স্বাদ
আই হুরি মাস দিই ভাত খাইয়ুম,আমি শুটকি মাছ দিয়ে ভাত খাব
আই মৃগেল মাস দিই ভাত খাইয়ুম,আমি মৃগেল মাছ দিয়ে ভাত খাব
আই রুইত মাস দিই ভাত খাইয়ুম,আমি রুই মাছ দিয়ে ভাত খাব
আই টাঁই মাস দিই ভাত খাইয়ুম,আমি টাকি মাছ দিয়ে ভাত খাব
আন্নে কি এজ্ঞা বাংলা বই হরইত্ত্বে হারেন?,আপনি কি একটি বাংলা বই পড়তে পারেন?
আই আন্নে্র কাছে পরামশ চাই,আমি আপনার কাছে পরামর্শ চাই
আই আন্নের লগে থ্যাইকতে চাই,আমি আপনার পাশে থাকতে চাই
আন্নে কি এ জায়গায় ঘুরতে হারেন?,আপনি কি এই জায়গায় ঘুরতে পারেন?
আন্নে কি গান ল্যিকতে হারেন?,আপনি কি গান লিখতে পারেন?
আই আন্নের লগে প্রেম করি?,আমি আপনার সাথে প্রেম করি
আন্নে কি ইজ্ঞা বাংলা নাটক দেখতে হারেন?,আপনি কি একটি বাংলা নাটক দেখতে পারেন?
আই আন্নের কাছে শিক্ষা নিতাম চাই,আমি আপনার কাছে শিক্ষা নিতে চাই
আই আন্নের লগে হ্যাইজলামি ক্যরতাম চাই,আমি আপনার সঙ্গে মজা করতে চাই
আন্নে কি কোনো ভুল ব্যুইজতে হারেন?,আপনি কি কোনো ভুল বুঝতে পারেন?
আই আন্নের লগে সময় কাটাতাম চাই,আমি আপনার সঙ্গে সময় কাটাতে চাই
আন্নে কি বাংলা কবিতা ল্যিকতে হারেন?,আপনি কি বাংলা কবিতা লিখতে পারেন?
আর বাংলা বুইজতে আসুবিধা হর,আমার বাংলা বুঝতে অসুবিধা হচ্ছে
আই বাংলা কতা কইতাম হারি,আমি বাংলা কথা বলতে পারি
আই বুইজতাম হ্যারিয়ের না,আমি বুঝতে পারছি না
আর বাইচ্চা এজ্ঞা মাইয়া আছে,আমার বাচ্চা একটি মেয়ে আছে
আন্নে কি ইজ্ঞা শহরে যাবেন?,আপনি কি একটি শহরে যাবেন?
আই ইয়ানে থাকুম,আমি এখানে থাকবো
আর ব্যাই দূরে আছে,আমার বাড়ি দূরে আছে
আর বাবা একজন ডাক্তর,আমার বাবা একজন ডাক্তার
তুই কি কোনোদিন ইয়ানে আইতে হ্যাইরবি?,তুমি কি কখনো এখানে আসতে পারবে?
তুই কি আর লগে য্যাইবি?,তুমি কি আমার সাথে যাবে?
তুই কি বাংলা গান হুনতে হারিস ?,তুমি কি বাংলা গান শুনতে পারো?
আই বহুত খুশি,আমি অনেক খুশি
আর বইগা কন্ডে?,আমার বইটা কোথায়?
তুই কি খেলতে ভালোবাসিস?,তুমি কি খেলতে ভালোবাসো?
আর ব্যাইত বহুত সুন্দর ফুল আছে,আমার বাড়িতে বড়ই সুন্দর ফুল আছে
তুই কি আর বন্ধু হইতে চাস?,তুমি কি আমার বন্ধু হতে চাও?
আই ইয়ানে হইত্যদিন আয়ই,আমি এখানে প্রতিদিন আসি
তুই কি খেলাধুলায় ভালা,তুমি কি খেলাধুলায় ভালো?
তোর কি খাওয়ার লাই সময় আছে?,তোমার  কি খাওয়ার জন্য সময় আছে?
আন্নে কি গা্ন হুনতে পছন্দ করেন?,আপনি কি গান শুনতে পছন্দ করেন?
আর ফ্রিয় হ্যল আম,আমার প্রিয় ফল আম
আরে লই বিদ্যেসে ঘুইরতে যাইবা?,আমাকে নিয়ে বিদেশে ঘুরতে যাবা ?
হেতে বিদ্যেসে যাইবো,সে বিদেশে যাবে
হেতের এ মাসে বিদ্যেসে যাইবের কতা ছিল,তাঁর এই মাসে বিদেশে যাওয়ার কথা ছিল
হেতে বিদ্যেসে যাইতো চায় না,সে বিদেশে যেতে চায় না
আন্নে কি বিদ্যেসে যাইতেন চান?,আপনি কি বিদেশে যেতে চান?
